iter	Logloss
0	0.6360960731
1	0.5953323357
2	0.5589961215
3	0.530676645
4	0.5002593344
5	0.4801414883
6	0.4633486824
7	0.44986913
8	0.4386733594
9	0.420792094
10	0.4065391887
11	0.3988004031
12	0.3894954468
13	0.3834509567
14	0.3711529277
15	0.365322904
16	0.3595021084
17	0.3554979032
18	0.3475787393
19	0.3406234241
20	0.3360816562
21	0.3262445681
22	0.3235632375
23	0.3204117637
24	0.3181413109
25	0.313447717
26	0.3062317382
27	0.3036312749
28	0.3006013968
29	0.2981508326
30	0.2910815754
31	0.2883620144
32	0.2860657461
33	0.2844544948
34	0.2819621916
35	0.2801080786
36	0.2759388889
37	0.2712142819
38	0.2691889871
39	0.264124647
40	0.2620872591
41	0.2591812575
42	0.2564516276
43	0.2553625523
44	0.2535873808
45	0.2510066236
46	0.2493281348
47	0.2480193344
48	0.2469893348
49	0.2442256524
50	0.2420953177
51	0.2410145587
52	0.2383808612
53	0.2365331564
54	0.2352347613
55	0.2346015349
56	0.2333395179
57	0.2317868649
58	0.2297525071
59	0.2286871571
60	0.226521299
61	0.2255127532
62	0.2240676658
63	0.222161233
64	0.2213567651
65	0.2206199339
66	0.2185817785
67	0.2170706149
68	0.2157739101
69	0.2150598713
70	0.21434664
71	0.2134946422
72	0.212821424
73	0.2123071532
74	0.2116685244
75	0.21071273
76	0.2094717142
77	0.2088139787
78	0.2082891347
79	0.2072655414
80	0.2060400711
81	0.2051944087
82	0.2042601333
83	0.2030196864
84	0.2018040948
85	0.2011322543
86	0.2007672581
87	0.2000007111
88	0.1995377937
89	0.1992166821
90	0.1980186563
91	0.1974651139
92	0.1966692444
93	0.1962562281
94	0.1954807693
95	0.1948358488
96	0.1943056175
97	0.1933224268
98	0.1928248243
99	0.1918377806
100	0.1912054369
101	0.1907749104
102	0.1900303305
103	0.1896779403
104	0.189094913
105	0.1887819011
106	0.1877111
107	0.187408638
108	0.1866821562
109	0.1860594938
110	0.1852987951
111	0.1847411141
112	0.1836738366
113	0.1834022714
114	0.1829412165
