iter	Passed	Remaining
0	108	108391
1	162	81100
2	232	77431
3	289	72162
4	349	69467
5	423	70171
6	489	69382
7	556	68989
8	615	67819
9	677	67046
10	753	67707
11	826	68049
12	901	68410
13	1002	70630
14	1093	71791
15	1164	71616
16	1257	72692
17	1364	74418
18	1443	74510
19	1508	73935
20	1591	74200
21	1706	75853
22	1816	77156
23	1933	78618
24	2048	79883
25	2156	80796
26	2269	81797
27	2376	82503
28	2470	82703
29	2554	82600
30	2673	83572
31	2795	84576
32	2931	85916
33	3041	86403
34	3142	86642
35	3246	86935
36	3348	87153
37	3452	87415
38	3571	87993
39	3672	88140
40	3735	87367
41	3790	86462
42	3845	85595
43	3897	84684
44	3954	83925
45	4010	83170
46	4069	82521
47	4125	81830
48	4182	81178
49	4239	80555
50	4298	79992
51	4353	79363
52	4412	78848
53	4479	78478
54	4538	77983
55	4602	77581
56	4663	77151
57	4724	76727
58	4786	76347
59	4865	76224
60	4932	75925
61	4994	75557
62	5100	75860
63	5272	77111
64	5374	77303
65	5509	77972
66	5601	78002
67	5700	78128
68	5780	78001
69	5853	77765
70	5926	77549
71	6012	77496
72	6105	77533
73	6169	77202
74	6231	76858
75	6335	77031
76	6433	77115
77	6514	77000
78	6598	76927
79	6669	76700
80	6760	76697
81	6839	76572
82	6921	76466
83	7003	76366
84	7059	75988
85	7116	75629
86	7167	75216
87	7225	74884
88	7285	74570
89	7338	74199
90	7392	73839
91	7447	73500
92	7507	73219
93	7564	72910
94	7624	72634
95	7684	72362
96	7741	72068
97	7800	71800
98	7862	71554
99	7920	71287
100	7979	71028
101	8035	70741
102	8094	70493
103	8148	70201
104	8207	69960
105	8261	69674
106	8316	69410
107	8371	69143
108	8430	68916
109	8496	68742
110	8556	68531
111	8630	68431
112	8698	68280
113	8765	68127
114	8844	68061
115	8923	68000
116	9001	67935
117	9084	67901
118	9145	67706
119	9199	67465
120	9252	67216
121	9311	67015
122	9411	67101
123	9491	67052
124	9566	66962
125	9644	66897
126	9705	66717
127	9779	66622
128	9857	66554
129	9923	66412
130	9998	66327
131	10076	66261
132	10141	66110
133	10197	65906
134	10258	65730
135	10312	65516
136	10369	65317
137	10425	65121
138	10477	64901
139	10532	64702
140	10583	64478
141	10629	64226
142	10673	63968
143	10718	63716
144	10760	63452
145	10802	63187
146	10847	62943
147	10893	62713
148	10936	62463
149	10988	62268
150	11065	62214
151	11116	62018
152	11186	61927
153	11248	61792
154	11315	61685
155	11360	61462
156	11414	61287
157	11458	61063
158	11501	60835
159	11557	60678
160	11633	60624
161	11687	60457
162	11750	60339
163	11793	60118
164	11836	59900
165	11884	59710
166	11930	59509
167	11971	59287
168	12015	59082
169	12073	58946
170	12120	58759
171	12162	58549
172	12215	58394
173	12260	58203
174	12306	58016
175	12349	57820
176	12393	57628
177	12446	57476
178	12491	57292
179	12535	57106
180	12576	56908
181	12624	56741
182	12671	56573
183	12716	56395
184	12760	56213
185	12807	56050
186	12851	55874
187	12895	55698
188	12940	55526
189	12984	55354
190	13028	55182
191	13079	55043
192	13128	54896
193	13174	54735
194	13218	54567
195	13263	54406
196	13309	54252
197	13354	54092
198	13397	53928
199	13455	53820
200	13498	53657
201	13547	53519
202	13601	53400
203	13645	53243
204	13687	53080
205	13735	52939
206	13783	52803
207	13829	52657
208	13885	52551
209	13945	52461
210	14001	52357
211	14060	52261
212	14117	52162
213	14166	52030
214	14224	51937
215	14284	51848
216	14338	51737
217	14404	51669
218	14462	51575
219	14515	51465
220	14572	51365
221	14629	51270
