iter	Logloss
0	0.6460379674
1	0.6057133501
2	0.5730623087
3	0.5398345488
4	0.5141385266
5	0.4928274015
6	0.477029248
7	0.4620025699
8	0.445340703
9	0.4347154313
10	0.4206885153
11	0.4125958454
12	0.4056968169
13	0.3965642907
14	0.3912265932
15	0.3780511922
16	0.3708701236
17	0.357816526
18	0.3535623946
19	0.3478983946
20	0.3445138794
21	0.3411244696
22	0.3331867888
23	0.3266639404
24	0.3227009388
25	0.3202840729
26	0.3167362346
27	0.3133116735
28	0.3111497411
29	0.3087035593
30	0.3007338658
31	0.2953033126
32	0.2932076361
33	0.2911719745
34	0.2868609381
35	0.2851570566
36	0.2811768233
37	0.2781478923
38	0.2769765004
39	0.2719483607
40	0.2688894627
41	0.2662987778
42	0.2648016343
43	0.2626536309
44	0.2605474575
45	0.2588395965
46	0.2561901709
47	0.2547995833
48	0.2541375538
49	0.2531899839
50	0.2500013357
51	0.246478781
52	0.2448806064
53	0.2435497877
54	0.2425001143
55	0.2402739428
56	0.2380337703
57	0.2369116651
58	0.2358648331
59	0.2348220568
60	0.2333113503
61	0.2317414494
62	0.2293103762
63	0.227298879
64	0.2260477466
65	0.2248073375
66	0.2235163733
67	0.2224984737
68	0.2208367062
69	0.2193035191
70	0.2185793225
71	0.2179403395
72	0.2169075678
73	0.2161154581
74	0.215338127
75	0.2146292306
76	0.2137734847
77	0.2131801705
78	0.2123802825
79	0.2115931314
80	0.2107793494
81	0.2102049658
82	0.2092364942
83	0.2087431087
84	0.2081553767
85	0.2068570791
86	0.2064701405
87	0.205759345
88	0.2048387401
89	0.2041829424
90	0.2037735028
91	0.2033618874
92	0.2021457874
93	0.2016310776
94	0.2012381803
95	0.2005055839
96	0.1997573752
97	0.1984624339
98	0.1981951163
99	0.1976878567
100	0.1969715684
101	0.1957578778
102	0.1951425375
103	0.1948291216
104	0.1937993742
105	0.1933222674
106	0.1925904638
107	0.1922050888
108	0.1911361372
109	0.1903413445
110	0.1898154648
111	0.189438504
112	0.1889538865
113	0.1882683863
114	0.1877528388
115	0.1869792303
116	0.1866186084
117	0.1857990159
118	0.1850085627
119	0.1845374119
120	0.1839101973
121	0.183505118
122	0.1825920353
123	0.1822312492
124	0.1818888412
125	0.1815218186
126	0.1812110435
127	0.1809969974
128	0.1803607409
129	0.1796259492
130	0.1789197128
131	0.1784929769
132	0.1782157122
133	0.1775582372
134	0.1769170166
135	0.1764938831
136	0.176066337
137	0.1757074317
138	0.175280169
139	0.1748783357
140	0.1743977338
141	0.1741932622
142	0.1737454582
143	0.1734707774
144	0.1730915487
145	0.1727799302
146	0.172155671
147	0.1719608633
148	0.1715679989
149	0.1711004239
150	0.1708181066
151	0.1703719679
152	0.170062539
153	0.1698685836
154	0.1694513631
155	0.1691748079
156	0.1689929244
157	0.1687374994
158	0.1684384914
159	0.1682456453
160	0.1677763261
161	0.1673461084
162	0.1670486998
163	0.166865128
164	0.1664887273
165	0.1663367577
166	0.1659825875
167	0.1657481228
168	0.1650956794
169	0.1647556016
170	0.1644499377
171	0.1641755268
172	0.1639127472
173	0.1635715008
174	0.1631429669
175	0.1627152502
176	0.1624166104
177	0.1621282411
178	0.16178423
179	0.1615537924
180	0.1613401715
181	0.1608579102
182	0.1606602043
183	0.1604439079
184	0.1602454683
185	0.159940516
186	0.1597615643
187	0.1595589807
188	0.1591722163
189	0.1589192706
190	0.1586387904
191	0.1584691431
192	0.1579794562
193	0.1576965688
194	0.1574055042
195	0.1572242262
196	0.1571049861
197	0.1569189904
198	0.1566733838
199	0.1563239683
200	0.1560844496
201	0.1559051002
202	0.1557657184
203	0.1555640533
204	0.1553748207
205	0.1551435135
206	0.1549978414
207	0.1548602552
208	0.1546166461
209	0.1544176357
210	0.1542027427
211	0.1538836039
212	0.1535510699
213	0.1533842504
214	0.1530716106
215	0.1529044329
216	0.1527658942
217	0.1526043766
218	0.1524530289
219	0.1521382422
220	0.151864278
