iter	Passed	Remaining
0	172	172429
1	272	136109
2	428	142374
3	562	139949
4	673	133983
5	807	133704
6	899	127660
7	1024	126999
8	1123	123654
9	1263	125100
10	1390	125063
11	1509	124276
12	1610	122243
13	1874	132040
14	1965	129087
15	2115	130080
16	2226	128728
17	2325	126865
18	2429	125445
19	2536	124283
20	2735	127541
21	2852	126810
22	2980	126617
23	3094	125846
24	3210	125208
25	3361	125929
26	3492	125855
27	3605	125179
28	3721	124603
29	3854	124615
30	4002	125119
31	4138	125179
32	4258	124776
33	4356	123771
34	4462	123046
35	4611	123485
36	4731	123141
37	4838	122492
38	5027	123886
39	5164	123946
40	5332	124725
41	5444	124184
42	5562	123788
43	5671	123234
44	5784	122755
45	5905	122475
46	6036	122391
47	6141	121800
48	6316	122600
49	6439	122358
50	6569	122244
51	6669	121592
52	6763	120854
53	6866	120283
54	6952	119451
55	7047	118798
56	7157	118408
57	7320	118899
58	7414	118262
59	7502	117536
60	7624	117364
61	7728	116919
62	7834	116517
63	7922	115861
64	8034	115568
65	8147	115296
66	8256	114973
67	8366	114673
68	8451	114036
69	8560	113737
70	8657	113279
71	8755	112845
72	8852	112414
73	8969	112234
74	9105	112300
75	9223	112140
76	9325	111783
77	9416	111306
78	9529	111096
79	9630	110755
80	9773	110891
81	9949	111384
82	10074	111309
83	10181	111029
84	10323	111134
85	10445	111012
86	10618	111434
87	10725	111150
88	10812	110681
89	10951	110736
90	11140	111280
91	11306	111590
92	11410	111278
93	11505	110896
94	11620	110699
95	11810	111210
96	11931	111077
97	12045	110866
98	12137	110463
99	12259	110336
100	12405	110420
101	12500	110054
102	12598	109720
103	12746	109819
104	12854	109570
105	12967	109369
106	13088	109234
107	13163	108724
108	13281	108563
109	13439	108735
110	13558	108588
111	13664	108336
112	13774	108122
113	13916	108158
114	14024	107928
115	14142	107773
116	14252	107564
117	14434	107892
118	14560	107793
119	14664	107537
120	14798	107502
121	14932	107468
122	15049	107305
123	15158	107086
124	15320	107240
125	15454	107197
126	15563	106982
127	15662	106703
128	15800	106682
129	15922	106558
130	16039	106396
131	16125	106039
132	16224	105761
133	16433	106205
134	16536	105952
135	16633	105674
136	16727	105369
137	16840	105192
138	16937	104913
139	17035	104647
140	17129	104358
141	17262	104306
142	17392	104230
143	17477	103893
144	17580	103666
145	17682	103431
146	17815	103377
147	17959	103389
148	18057	103132
149	18171	102969
150	18299	102889
151	18448	102925
152	18605	103001
153	18712	102795
154	18859	102812
155	18984	102713
156	19192	103050
157	19416	103472
158	19651	103944
159	19863	104283
160	20028	104373
161	20149	104229
162	20285	104166
163	20403	104007
164	20542	103955
165	20644	103721
166	20767	103590
167	20865	103331
168	21004	103282
169	21102	103031
170	21219	102869
171	21314	102607
172	21440	102492
173	21558	102340
174	21703	102315
175	21827	102191
176	21950	102064
177	22158	102329
178	22252	102063
179	22339	101769
180	22439	101534
181	22577	101475
182	22719	101428
183	22837	101277
184	22978	101230
185	23087	101039
186	23206	100890
187	23315	100705
188	23498	100831
189	23630	100740
190	23732	100523
191	23854	100385
192	24010	100396
193	24120	100210
194	24262	100160
195	24362	99936
196	24477	99773
197	24577	99552
198	24778	99738
199	25029	100118
200	25148	99967
201	25254	99768
202	25347	99518
203	25456	99331
204	25562	99132
205	25661	98910
206	25785	98781
207	25873	98519
208	25968	98283
209	26087	98138
210	26198	97966
211	26309	97791
212	26408	97574
213	26565	97571
214	26742	97639
215	26957	97847
216	27083	97726
217	27202	97578
218	27319	97427
219	27417	97206
220	27525	97023
221	27654	96916
222	27909	97245
223	28113	97393
224	28326	97568
225	28602	97957
226	28746	97891
227	28842	97658
228	28965	97521
229	29093	97400
230	29208	97235
231	29303	97003
232	29396	96769
233	29520	96635
234	29765	96897
235	29941	96929
236	30044	96724
237	30200	96693
238	30336	96593
239	30424	96345
240	30520	96121
241	30652	96011
242	30781	95892
243	30876	95664
244	31007	95554
245	31133	95423
246	31282	95368
247	31392	95191
248	31494	94988
249	31610	94831
250	31717	94646
251	31832	94486
252	31949	94332
253	32052	94137
254	32147	93919
255	32338	93984
256	32455	93831
257	32558	93636
258	32681	93501
259	32796	93344
260	32935	93255
261	33025	93026
262	33131	92844
263	33260	92727
264	33356	92516
265	33512	92473
266	33626	92314
267	33720	92102
268	33861	92018
269	33955	91806
270	34042	91574
271	34144	91386
272	34241	91184
273	34358	91038
274	34571	91141
275	34842	91398
276	35096	91606
277	35233	91505
278	35347	91346
279	35449	91154
280	35578	91036
281	35686	90861
282	35820	90753
283	35947	90627
284	36065	90480
285	36211	90402
286	36368	90351
287	36469	90161
288	36560	89947
289	36675	89791
290	36773	89595
291	36912	89499
292	37028	89348
293	37156	89227
294	37259	89044
295	37383	88911
296	37481	88719
297	37611	88601
298	37768	88547
299	37865	88353
300	37991	88226
301	38112	88087
302	38230	87942
303	38337	87773
304	38458	87634
305	38585	87510
306	38698	87356
307	38870	87332
308	39035	87293
309	39223	87302
310	39358	87195
311	39521	87149
312	39692	87120
313	39840	87041
314	39985	86952
315	40083	86763
316	40211	86637
317	40365	86571
318	40564	86596
319	40771	86639
320	40964	86650
321	41091	86521
322	41223	86402
323	41434	86449
324	41714	86638
325	41943	86717
326	42128	86705
327	42364	86796
328	42564	86811
329	42666	86626
330	42808	86522
331	42965	86449
332	43170	86471
333	43323	86387
334	43476	86304
335	43585	86133
336	43692	85959
337	43951	86083
338	44106	86000
339	44218	85835
340	44353	85715
341	44570	85752
342	44698	85617
343	44805	85442
344	44915	85273
345	45032	85118
346	45137	84941
347	45238	84757
348	45343	84579
349	45465	84436
350	45572	84263
351	45696	84123
352	45804	83953
353	45924	83806
354	46061	83688
355	46170	83522
356	46258	83317
357	46346	83112
358	46474	82980
359	46584	82817
360	46703	82669
361	46810	82499
362	46951	82392
363	47071	82245
364	47186	82092
365	47290	81918
366	47542	82001
367	47766	82033
368	47933	81967
369	48105	81909
370	48232	81774
371	48358	81637
372	48467	81472
373	48596	81340
374	48881	81469
375	49028	81366
376	49212	81324
377	49324	81163
378	49425	80984
379	49529	80811
380	49656	80675
381	49760	80503
382	49969	80499
383	50062	80309
384	50194	80180
385	50339	80073
386	50628	80194
387	50772	80084
388	50899	79947
389	51029	79815
390	51146	79662
391	51241	79477
392	51364	79333
393	51496	79204
394	51602	79036
395	51898	79158
396	52202	79290
397	52457	79345
398	52746	79450
399	52876	79314
400	52972	79128
401	53065	78938
402	53191	78797
403	53380	78749
404	53600	78746
405	53746	78633
406	54004	78684
407	54269	78743
408	54591	78883
409	54767	78812
410	54934	78725
411	55045	78559
412	55184	78434
413	55287	78257
414	55417	78118
415	55563	78002
416	55691	77861
417	55814	77713
418	55907	77522
419	56038	77386
420	56226	77328
421	56461	77333
422	56660	77288
423	56772	77124
424	56859	76928
425	56968	76759
426	57052	76560
427	57147	76374
428	57259	76212
429	57368	76046
430	57492	75900
431	57676	75833
432	57781	75663
433	57870	75471
434	57960	75281
435	58064	75110
436	58159	74928
437	58260	74754
438	58439	74680
439	58565	74537
440	58681	74382
441	58847	74291
442	59108	74319
443	59300	74259
444	59495	74202
445	59673	74123
446	59801	73982
447	59907	73815
448	60004	73636
449	60106	73463
450	60207	73289
451	60353	73171
452	60514	73071
453	60614	72897
454	60713	72722
455	60809	72544
456	60914	72377
457	61014	72204
458	61119	72038
459	61234	71884
460	61334	71712
461	61466	71578
462	61604	71450
463	61717	71294
464	61828	71136
465	61940	70978
466	62107	70885
467	62284	70802
468	62379	70625
469	62478	70454
470	62612	70322
471	62848	70305
472	63112	70317
473	63367	70318
474	63509	70195
475	63608	70023
476	63709	69853
477	63809	69682
478	63908	69511
479	64018	69352
480	64113	69178
481	64212	69008
482	64306	68832
483	64420	68679
484	64536	68528
485	64632	68356
486	64728	68184
487	64826	68014
488	64923	67844
489	65036	67691
490	65120	67508
491	65208	67329
492	65315	67170
493	65414	67003
494	65535	66859
495	65629	66688
496	65723	66517
497	65821	66350
498	65937	66201
499	66024	66024
500	66116	65852
501	66203	65675
502	66295	65504
503	66392	65338
504	66529	65211
505	66640	65060
506	66740	64897
507	66860	64754
508	66963	64595
509	67054	64425
510	67154	64263
511	67267	64114
512	67359	63945
513	67470	63794
514	67575	63639
515	67692	63494
516	67784	63327
517	67874	63157
518	67979	63002
519	68071	62835
520	68177	62681
521	68290	62534
522	68396	62381
523	68517	62240
524	68613	62078
525	68720	61927
526	68855	61799
527	68947	61635
528	69045	61475
529	69140	61313
530	69236	61151
531	69338	60997
532	69426	60829
533	69524	60670
534	69612	60504
535	69718	60353
536	69828	60206
537	69910	60034
538	70023	59890
539	70128	59739
540	70226	59582
541	70326	59427
542	70435	59279
543	70539	59128
544	70644	58978
545	70743	58823
546	70848	58673
547	70941	58513
548	71048	58366
549	71174	58233
550	71274	58080
551	71373	57926
552	71488	57785
553	71601	57642
554	71702	57490
555	71801	57338
556	71890	57177
557	71986	57021
558	72080	56864
559	72187	56718
560	72292	56571
561	72384	56413
562	72488	56265
563	72588	56114
564	72713	55982
565	72815	55833
566	72903	55674
567	73008	55527
568	73099	55370
569	73195	55217
570	73299	55070
571	73389	54913
572	73502	54774
573	73616	54635
574	73734	54499
575	73843	54357
576	73964	54223
577	74063	54074
578	74161	53924
579	74251	53768
580	74335	53608
581	74418	53448
582	74517	53299
583	74618	53152
584	74717	53004
585	74812	52853
586	74903	52700
587	75019	52564
588	75121	52419
589	75234	52281
590	75342	52140
591	75490	52027
592	75672	51937
593	75897	51876
594	76075	51782
595	76217	51664
596	76341	51533
597	76436	51383
598	76578	51265
599	76711	51140
600	76817	50998
601	76951	50875
602	77041	50722
603	77167	50593
604	77286	50459
605	77384	50312
606	77512	50184
607	77628	50050
608	77732	49906
609	77837	49764
610	78025	49675
611	78128	49532
612	78244	49397
613	78405	49290
614	78614	49213
615	78766	49101
616	78868	48957
617	78984	48822
618	79199	48747
619	79405	48668
620	79668	48622
621	79851	48527
622	79993	48407
623	80114	48274
624	80211	48126
625	80314	47983
626	80442	47854
627	80590	47738
628	80670	47581
629	80756	47428
630	80861	47286
631	80974	47149
632	81075	47006
633	81188	46869
634	81275	46717
635	81384	46578
636	81506	46447
637	81602	46300
638	81695	46153
639	81790	46007
640	81896	45867
641	81997	45724
642	82118	45593
643	82211	45445
644	82321	45308
645	82425	45167
646	82544	45036
647	82664	44904
648	82783	44771
649	82883	44629
650	82980	44485
651	83070	44338
652	83178	44200
653	83280	44059
654	83388	43922
655	83490	43781
656	83619	43655
657	83747	43528
658	83855	43391
659	83955	43249
660	84065	43113
661	84188	42984
662	84382	42891
663	84475	42746
664	84575	42605
665	84690	42472
666	84894	42383
667	84984	42237
668	85176	42142
669	85337	42032
670	85462	41903
671	85548	41755
672	85640	41611
673	85747	41474
674	85870	41344
675	85977	41208
676	86072	41065
677	86224	40950
678	86318	40807
679	86427	40671
680	86525	40531
681	86607	40382
682	86715	40246
683	86813	40106
684	86909	39965
685	87011	39827
686	87119	39691
687	87239	39562
688	87350	39428
689	87456	39291
690	87542	39147
691	87649	39011
692	87824	38906
693	88020	38810
694	88167	38692
695	88365	38596
696	88556	38497
697	88789	38416
698	89052	38347
699	89264	38256
700	89502	38175
701	89782	38112
702	89937	37996
703	90078	37874
704	90227	37754
705	90463	37671
706	90723	37598
707	90866	37476
708	91012	37355
709	91134	37224
710	91236	37085
711	91387	36965
712	91508	36834
713	91629	36703
714	91914	36637
715	92129	36543
716	92329	36442
717	92515	36336
718	92647	36208
719	92772	36078
720	92894	35946
721	93056	35830
722	93176	35698
723	93328	35578
724	93418	35434
725	93529	35299
726	93658	35170
727	93788	35041
728	93903	34907
729	94003	34768
730	94151	34646
731	94251	34507
732	94366	34373
733	94487	34242
734	94569	34096
735	94737	33981
736	94843	33845
737	94950	33708
738	95060	33573
739	95173	33439
740	95286	33305
741	95538	33219
742	95644	33083
743	95761	32950
744	95898	32824
745	96001	32686
746	96087	32543
747	96222	32417
748	96322	32278
749	96490	32163
750	96746	32077
751	96869	31946
752	97008	31821
753	97168	31702
754	97302	31574
755	97414	31440
756	97526	31306
757	97634	31170
758	97757	31040
759	97919	30922
760	98020	30784
761	98155	30657
762	98308	30536
763	98482	30421
764	98626	30296
765	98766	30171
766	98885	30039
767	99007	29908
768	99148	29783
769	99273	29653
770	99454	29539
771	99536	29396
772	99753	29293
773	99870	29161
774	100009	29034
775	100131	28903
776	100256	28773
777	100561	28694
778	100715	28572
779	100855	28446
780	100976	28314
781	101103	28184
782	101213	28050
783	101328	27916
784	101423	27778
785	101553	27649
786	101698	27524
787	101803	27388
788	101929	27258
789	102032	27122
790	102144	26989
791	102244	26851
792	102349	26716
793	102438	26577
794	102526	26437
795	102630	26302
796	102736	26167
797	102834	26030
798	102932	25894
799	103020	25755
800	103129	25621
801	103241	25488
802	103341	25352
803	103553	25244
804	103697	25119
805	103838	24993
806	103953	24861
807	104052	24725
808	104182	24596
809	104299	24465
810	104395	24328
811	104501	24194
812	104611	24061
813	104724	23929
814	104833	23796
815	104955	23666
816	105156	23554
817	105252	23417
818	105577	23332
819	105772	23218
820	105946	23099
821	106063	22967
822	106207	22841
823	106364	22718
824	106500	22590
825	106619	22459
826	106708	22322
827	106803	22186
828	106910	22052
829	107033	21922
830	107167	21794
831	107326	21671
832	107509	21553
833	107747	21446
834	107949	21331
835	108066	21199
836	108180	21067
837	108296	20935
838	108394	20800
839	108480	20662
840	108578	20527
841	108711	20399
842	108852	20272
843	108977	20142
844	109081	20008
845	109172	19872
846	109306	19744
847	109408	19610
848	109498	19474
849	109607	19342
850	109744	19215
851	109839	19080
852	109930	18944
853	110052	18814
854	110180	18685
855	110299	18555
856	110435	18427
857	110538	18294
858	110651	18162
859	110755	18030
860	110868	17898
