iter	RMSE
0	194599.5234
1	193062.8314
2	191077.1123
3	189333.3604
4	187736.7973
5	186390.8164
6	185145.9297
7	184046.4306
8	182842.4902
9	181798.3622
10	180968.4787
11	179917.0218
12	179074.178
13	178302.1529
14	177550.5267
15	176732.3448
16	176057.4463
17	175084.6583
18	173964.1219
19	173416.9863
20	172873.1138
21	172011.869
22	171536.7656
23	171061.9838
24	170138.3723
25	169682.5232
26	168728.842
27	168326.2771
28	167853.0697
29	167244.9926
30	166885.5534
31	166383.8033
32	166009.4518
33	165654.6011
34	165308.1178
35	164427.8388
36	163670.5853
37	163419.7646
38	163059.2923
39	162529.6668
40	162179.8533
41	161837.5292
42	161508.4084
43	161115.4597
44	160784.5362
45	160521.566
46	160011.6718
47	159876.6493
48	159684.8916
49	159398.631
50	159027.543
51	158750.5529
52	158495.7734
53	158049.8986
54	157508.4767
55	157156.5379
56	156830.7611
57	156607.9529
58	156328.3247
59	155707.0392
60	155381.2503
61	155117.1158
62	154866.7104
63	154567.92
64	154323.4893
65	154158.8214
66	153974.2587
67	153685.0194
68	153460.2237
69	153225.6417
70	153020.2724
71	152933.1027
72	152699.4867
73	152403.3449
74	152203.8981
75	151985.4686
76	151587.8829
77	151566.8811
78	150965.6775
79	150671.5237
80	150531.1594
81	150284.2987
82	149757.8506
83	149528.2245
84	149245.6853
85	148907.5944
86	148571.7182
87	148381.3398
88	148011.6878
89	147902.2016
90	147712.4281
91	147461.7922
92	147353.3166
93	147127.9485
94	146839.8211
95	146585.9898
96	146351.4808
97	146135.1267
98	145604.9951
99	145432.7213
100	145251.989
101	145065.0697
102	144854.5179
103	144667.3709
104	144486.6759
105	144412.3294
106	143915.6828
107	143720.0056
108	143605.9828
109	143352.681
110	143189.0592
111	143008.8785
112	142874.2341
113	142545.9019
114	142394.8559
115	141838.2408
116	141719.3876
117	141457.7805
118	141369.2995
119	141205.1077
120	141117.0242
121	140983.8822
122	140514.5036
123	140279.9671
124	139690.3252
125	139476.0665
126	139359.1486
127	139229.6168
128	138789.9559
129	138628.8785
130	138423.5319
131	138327.1859
132	138202.1192
133	137765.056
134	137374.2184
135	137009.0163
136	136757.2407
137	136723.7101
138	136452.9415
139	136287.3937
140	135917.6457
141	135381.374
142	135307.0059
143	135181.6449
144	135087.9897
145	134730.5288
146	134519.1353
147	134410.5289
148	134201.5451
149	134096.3458
150	133989.9683
151	133890.3101
152	133595.5963
153	133489.4663
154	133101.9456
155	133074.5095
156	132925.9001
157	132617.5848
158	132454.7576
159	132336.373
160	132228.5617
161	132072.2506
162	131922.872
163	131784.2605
164	131581.2941
165	131484.6608
166	131332.9163
