iter	Passed	Remaining
0	69	69135
1	84	41986
2	88	29534
3	97	24392
4	111	22194
5	116	19306
6	122	17445
7	129	16007
8	133	14712
9	138	13673
10	141	12760
11	146	12068
12	158	12022
13	162	11418
14	165	10885
15	168	10366
16	173	10008
17	176	9614
18	178	9221
19	181	8875
20	183	8563
21	186	8276
22	189	8034
23	191	7772
24	193	7558
25	196	7363
26	198	7163
27	200	6975
28	203	6802
29	205	6646
30	207	6493
31	209	6350
32	212	6214
33	214	6089
34	216	5965
35	218	5851
36	221	5752
37	223	5649
38	225	5553
39	227	5464
40	229	5377
41	232	5300
42	234	5221
43	236	5144
44	238	5070
45	241	5001
46	243	4936
47	245	4877
48	248	4815
49	250	4754
50	252	4695
51	254	4641
52	256	4582
53	258	4531
54	260	4482
55	263	4436
56	265	4393
57	268	4355
58	270	4312
59	272	4272
60	275	4236
61	277	4204
62	280	4167
63	282	4130
64	284	4093
65	287	4067
66	289	4031
67	292	4002
68	294	3970
69	297	3958
70	300	3926
71	302	3895
72	304	3866
73	307	3842
74	310	3824
75	312	3794
76	314	3768
77	315	3730
78	317	3704
79	319	3678
80	322	3659
81	324	3637
82	327	3614
83	329	3595
84	331	3573
85	334	3553
86	336	3530
87	338	3512
88	341	3494
89	343	3473
90	345	3452
91	348	3437
92	351	3424
93	353	3405
94	355	3387
95	357	3370
96	360	3353
97	363	3345
98	365	3328
99	367	3311
100	369	3293
101	372	3279
102	375	3265
103	377	3249
104	379	3233
105	381	3217
106	384	3205
107	386	3191
108	388	3176
109	390	3160
110	393	3149
111	396	3140
112	398	3131
113	401	3118
114	403	3108
115	406	3095
116	408	3082
117	410	3069
118	412	3056
119	415	3046
120	417	3034
121	419	3021
122	422	3009
123	425	3007
124	428	2996
125	430	2983
126	432	2971
127	434	2960
128	437	2952
129	439	2941
130	441	2929
131	443	2919
132	446	2910
133	449	2903
134	451	2894
135	453	2883
136	456	2873
137	459	2872
138	462	2863
139	464	2853
140	466	2843
141	469	2834
142	471	2826
143	473	2816
144	476	2808
145	479	2803
146	481	2794
147	484	2790
148	486	2779
149	489	2771
150	491	2764
151	493	2755
152	496	2747
153	498	2738
154	501	2733
155	503	2725
156	505	2716
157	508	2707
158	510	2700
159	513	2693
160	515	2685
161	517	2676
162	519	2669
163	523	2668
164	525	2661
165	528	2653
166	530	2645
167	532	2639
168	535	2631
169	537	2623
170	539	2615
171	541	2608
172	544	2601
173	546	2594
174	548	2586
175	551	2581
176	554	2576
177	556	2568
178	558	2560
179	560	2553
180	562	2546
181	565	2540
182	567	2534
183	569	2527
184	571	2519
185	574	2512
186	577	2509
187	579	2502
188	581	2495
189	583	2487
190	586	2484
191	588	2477
192	590	2470
193	593	2463
194	595	2457
195	597	2450
196	599	2443
197	602	2439
198	604	2432
199	606	2425
200	608	2419
201	610	2413
202	613	2406
203	615	2400
204	617	2395
205	619	2388
206	621	2382
207	624	2376
208	626	2369
209	628	2364
210	630	2357
211	632	2352
212	634	2345
213	637	2340
214	639	2334
215	641	2329
216	642	2319
217	644	2313
218	646	2307
219	649	2303
220	651	2298
221	654	2293
222	656	2287
223	658	2281
224	661	2276
225	663	2272
226	665	2266
227	667	2260
228	669	2255
229	672	2250
230	674	2245
231	676	2240
232	679	2236
233	681	2231
234	684	2227
235	686	2222
236	688	2217
237	691	2212
238	693	2208
239	696	2204
240	698	2199
241	700	2193
242	702	2188
243	705	2185
244	707	2179
245	709	2174
246	711	2170
247	714	2166
248	716	2162
249	719	2157
250	721	2152
251	724	2149
252	726	2145
253	729	2142
254	733	2141
255	737	2142
256	740	2140
257	742	2136
258	745	2131
259	747	2128
260	750	2123
261	752	2119
262	755	2115
263	757	2112
264	759	2107
265	762	2104
266	765	2100
267	767	2095
268	769	2091
269	771	2085
270	773	2081
271	776	2077
272	779	2074
273	781	2070
274	783	2065
275	785	2060
276	787	2055
277	790	2051
278	792	2047
279	794	2042
280	796	2038
281	798	2033
282	801	2029
283	803	2025
284	805	2021
285	808	2017
286	810	2013
287	813	2010
288	816	2007
289	818	2004
290	821	2001
291	823	1996
292	826	1995
293	831	1996
294	836	1999
295	839	1997
296	844	1999
297	850	2003
298	856	2008
299	860	2008
300	863	2004
301	865	2000
302	867	1996
303	870	1992
304	872	1988
305	875	1985
306	877	1981
307	880	1978
308	882	1973
309	884	1969
310	887	1965
311	889	1962
312	892	1958
313	894	1953
314	896	1950
315	898	1945
316	901	1941
317	903	1937
318	906	1935
319	908	1931
320	911	1927
321	913	1923
322	915	1919
323	918	1915
324	920	1911
325	922	1907
326	924	1903
327	927	1899
328	929	1896
329	932	1893
330	934	1889
331	937	1885
332	939	1882
333	942	1878
334	944	1875
335	947	1871
336	949	1867
337	951	1863
338	954	1860
339	956	1856
340	958	1852
341	961	1849
342	963	1845
343	966	1842
344	968	1839
345	971	1835
346	973	1831
347	975	1827
348	977	1823
349	979	1819
350	982	1816
351	984	1812
352	987	1809
353	989	1804
354	991	1800
355	993	1797
356	996	1794
357	998	1791
358	1001	1787
359	1003	1784
360	1006	1780
361	1008	1778
362	1011	1774
363	1013	1770
364	1015	1767
365	1018	1763
366	1020	1759
367	1022	1755
368	1024	1752
369	1026	1748
370	1029	1744
371	1032	1742
372	1034	1739
373	1036	1735
374	1039	1731
375	1041	1728
376	1043	1724
377	1045	1720
378	1048	1718
379	1050	1714
380	1053	1710
381	1055	1707
382	1058	1704
383	1060	1701
384	1063	1698
385	1065	1694
386	1067	1691
387	1069	1687
388	1071	1683
389	1074	1680
390	1076	1676
391	1080	1675
392	1082	1671
393	1084	1668
394	1087	1665
395	1089	1662
396	1092	1659
397	1094	1655
398	1096	1652
399	1099	1649
400	1101	1645
401	1104	1642
402	1106	1639
403	1108	1635
404	1111	1633
405	1113	1629
406	1116	1626
407	1118	1623
408	1121	1620
409	1123	1617
410	1126	1614
411	1128	1611
412	1130	1607
413	1132	1603
414	1135	1600
415	1137	1597
416	1139	1593
417	1142	1590
418	1144	1586
419	1146	1583
420	1148	1579
421	1150	1576
422	1152	1572
423	1155	1569
424	1157	1565
425	1159	1562
426	1162	1559
427	1164	1555
428	1166	1552
429	1168	1548
430	1170	1545
431	1173	1542
432	1175	1539
433	1177	1536
434	1180	1532
435	1182	1529
436	1184	1526
437	1188	1524
438	1190	1521
439	1192	1517
440	1194	1514
441	1197	1512
442	1199	1508
443	1202	1505
444	1204	1501
445	1206	1498
446	1209	1495
447	1212	1493
448	1214	1490
449	1216	1486
450	1218	1483
451	1220	1480
452	1223	1476
453	1225	1473
454	1227	1470
455	1229	1466
456	1231	1463
457	1233	1460
458	1236	1457
459	1238	1453
460	1240	1450
461	1242	1447
462	1244	1443
463	1247	1440
464	1249	1437
465	1251	1434
466	1254	1431
467	1256	1428
468	1258	1424
469	1260	1421
470	1262	1418
471	1265	1415
472	1267	1412
473	1269	1408
474	1272	1405
475	1274	1402
476	1276	1399
477	1278	1396
478	1280	1393
479	1283	1390
480	1285	1387
481	1288	1384
482	1290	1381
483	1292	1378
484	1294	1374
485	1296	1371
486	1299	1368
487	1301	1365
488	1303	1361
489	1305	1358
490	1307	1355
491	1309	1352
492	1312	1349
493	1314	1346
494	1316	1343
495	1319	1340
496	1321	1337
497	1323	1334
498	1325	1330
499	1327	1327
500	1329	1324
501	1331	1321
502	1334	1318
503	1336	1315
504	1338	1312
505	1341	1309
506	1343	1306
507	1345	1303
508	1348	1300
509	1350	1297
510	1352	1294
511	1355	1291
512	1357	1288
513	1359	1285
514	1361	1282
515	1364	1279
516	1366	1276
517	1368	1273
518	1370	1270
519	1373	1267
520	1375	1264
521	1378	1262
522	1380	1259
523	1383	1256
524	1385	1253
525	1387	1250
526	1390	1247
527	1392	1244
528	1394	1241
529	1396	1238
530	1398	1235
531	1401	1232
532	1403	1229
533	1405	1226
534	1408	1224
535	1410	1221
536	1412	1218
537	1415	1215
538	1417	1212
539	1419	1209
540	1421	1206
541	1424	1203
542	1426	1200
543	1428	1197
544	1430	1194
545	1433	1191
546	1435	1188
547	1437	1185
548	1439	1182
549	1442	1179
550	1444	1177
551	1447	1174
552	1449	1171
553	1451	1168
554	1454	1166
555	1456	1163
556	1459	1160
557	1461	1157
558	1463	1154
559	1466	1152
560	1468	1149
561	1470	1146
562	1472	1143
563	1475	1141
564	1478	1138
565	1480	1135
566	1482	1132
567	1484	1129
568	1487	1126
569	1489	1123
570	1491	1120
571	1493	1117
572	1496	1114
573	1498	1111
574	1500	1109
575	1502	1106
576	1505	1103
577	1507	1100
578	1509	1097
579	1511	1094
